Year,Temperature_Anomaly
1880,-2.62
1880,-2.42
1880,-1.57
1880,-0.64
1880,0.37
1880,0.94
1880,1.21
1880,1.18
1880,0.5
1880,-0.59
1880,-1.69
1880,-2.34
1881,-2.62
1881,-2.32
1881,-1.46
1881,-0.44
1881,0.53
1881,0.97
1881,1.42
1881,1.24
1881,0.5
1881,-0.58
1881,-1.65
1881,-2.23
1882,-2.27
1882,-2.03
1882,-1.44
1882,-0.64
1882,0.33
1882,0.93
1882,1.25
1882,1.21
1882,0.51
1882,-0.6
1882,-1.63
1882,-2.52
1883,-2.72
1883,-2.53
1883,-1.61
1883,-0.66
1883,0.29
1883,1.08
1883,1.34
1883,1.14
1883,0.43
1883,-0.48
1883,-1.7
1883,-2.27
1884,-2.55
1884,-2.25
1884,-1.85
1884,-0.88
1884,0.13
1884,0.81
1884,1.11
1884,1.01
1884,0.38
1884,-0.61
1884,-1.8
1884,-2.46
1885,-3.01
1885,-2.5
1885,-1.75
1885,-0.89
1885,0.01
1885,0.72
1885,1.08
1885,0.97
1885,0.37
1885,-0.6
1885,-1.7
1885,-2.26
1886,-2.86
1886,-2.67
1886,-1.91
1886,-0.75
1886,0.22
1886,0.81
1886,1.24
1886,0.98
1886,0.42
1886,-0.64
1886,-1.74
1886,-2.41
1887,-3.14
1887,-2.73
1887,-1.84
1887,-0.82
1887,0.16
1887,0.91
1887,1.16
1887,0.93
1887,0.4
1887,-0.72
1887,-1.73
1887,-2.48
1888,-2.76
1888,-2.52
1888,-1.9
1888,-0.68
1888,0.25
1888,0.99
1888,1.31
1888,1.13
1888,0.54
1888,-0.35
1888,-1.44
1888,-2.19
1889,-2.52
1889,-2.0
1889,-1.42
1889,-0.38
1889,0.45
1889,1.06
1889,1.34
1889,1.08
1889,0.42
1889,-0.62
1889,-1.8
1889,-2.44
1890,-2.84
1890,-2.61
1890,-1.89
1890,-0.77
1890,0.07
1890,0.91
1890,1.14
1890,0.89
1890,0.29
1890,-0.61
1890,-1.9
1890,-2.47
1891,-2.76
1891,-2.63
1891,-1.66
1891,-0.75
1891,0.3
1891,0.95
1891,1.24
1891,1.11
1891,0.5
1891,-0.58
1891,-1.78
1891,-2.19
1892,-2.72
