Category,Product,Year,Investment in USD billion
Technology,Biofuels,2013,1.88670
Technology,Biofuels,2014,1.91756
Technology,Biofuels,2015,1.65493
Technology,Biofuels,2016,0.22934
Technology,Biofuels,2017,0.20520
Technology,Biofuels,2018,0.17974
Technology,Biofuels,2019,1.77294
Technology,Biofuels,2020,1.82112
Technology,Biofuels,2021,6.03000
Technology,Biofuels,2022,5.84000
Technology,Biomass,2013,8.61579
Technology,Biomass,2014,8.57190
Technology,Biomass,2015,7.36613
Technology,Biomass,2016,5.05402
Technology,Biomass,2017,4.62719
Technology,Biomass,2018,10.94852
Technology,Biomass,2019,8.69030
Technology,Biomass,2020,4.45940
Technology,Biomass,2021,10.86000
Technology,Biomass,2022,3.05000
Technology,Geothermal,2013,0.84306
Technology,Geothermal,2014,2.18748
Technology,Geothermal,2015,2.56808
Technology,Geothermal,2016,2.19157
Technology,Geothermal,2017,3.53310
Technology,Geothermal,2018,2.08794
Technology,Geothermal,2019,1.30752
Technology,Geothermal,2020,0.62717
Technology,Geothermal,2021,0.32000
Technology,Geothermal,2022,0.18000
Technology,Hydropower,2013,13.96551
Technology,Hydropower,2014,9.57729
Technology,Hydropower,2015,5.66875
Technology,Hydropower,2016,3.05083
Technology,Hydropower,2017,25.52066
Technology,Hydropower,2018,8.46842
Technology,Hydropower,2019,6.91064
Technology,Hydropower,2020,8.73461
Technology,Hydropower,2021,7.83262
Technology,Hydropower,2022,7.55262
Technology,Marine,2013,0.06455
Technology,Marine,2014,0.12571
Technology,Marine,2015,0.06855
Technology,Marine,2016,0.01909
Technology,Marine,2017,0.00000
Technology,Marine,2018,0.00000
Technology,Marine,2019,0.00209
Technology,Marine,2020,0.00000
Technology,Marine,2021,0.00000
Technology,Marine,2022,0.00000
Technology,Offshore wind,2013,7.13043
Technology,Offshore wind,2014,16.99407
Technology,Offshore wind,2015,27.48850
Technology,Offshore wind,2016,27.30459
Technology,Offshore wind,2017,21.06815
Technology,Offshore wind,2018,22.54846
Technology,Offshore wind,2019,22.01381
Technology,Offshore wind,2020,40.66813
Technology,Offshore wind,2021,39.33000
Technology,Offshore wind,2022,33.75000
Technology,Onshore wind,2013,64.88174
Technology,Onshore wind,2014,73.65095
Technology,Onshore wind,2015,104.00463
Technology,Onshore wind,2016,80.41688
Technology,Onshore wind,2017,103.70501
Technology,Onshore wind,2018,100.41752
Technology,Onshore wind,2019,132.50899
Technology,Onshore wind,2020,120.03762
Technology,Onshore wind,2021,139.06000
Technology,Onshore wind,2022,140.70000
Technology,Solar PV,2013,106.08183
Technology,Solar PV,2014,141.37183
Technology,Solar PV,2015,146.81093
Technology,Solar PV,2016,121.56025
Technology,Solar PV,2017,171.93948
Technology,Solar PV,2018,152.64804
Technology,Solar PV,2019,126.60589
Technology,Solar PV,2020,148.11170
Technology,Solar PV,2021,217.28000
Technology,Solar PV,2022,298.21000
Technology,Solar thermal including CSP,2013,18.50944
Technology,Solar thermal including CSP,2014,16.89729
Technology,Solar thermal including CSP,2015,20.52529
Technology,Solar thermal including CSP,2016,16.02885
Technology,Solar thermal including CSP,2017,14.42511
Technology,Solar thermal including CSP,2018,13.68019
Technology,Solar thermal including CSP,2019,18.66568
Technology,Solar thermal including CSP,2020,13.89699
Technology,Solar thermal including CSP,2021,8.94000
Technology,Solar thermal including CSP,2022,9.30000
Technology,Unknown,2013,16.84239
Technology,Unknown,2014,16.96827
Technology,Unknown,2015,23.61597
Technology,Unknown,2016,7.39304
Technology,Unknown,2017,6.38889
Technology,Unknown,2018,11.06757
Technology,Unknown,2019,10.83709
Technology,Unknown,2020,9.39966
Technology,Unknown,2021,0.00000
Technology,Unknown,2022,0.00000
Region,East Asia and Pacific,2013,96.56306
Region,East Asia and Pacific,2014,123.92784
Region,East Asia and Pacific,2015,154.96134
Region,East Asia and Pacific,2016,107.46262
Region,East Asia and Pacific,2017,144.18841
Region,East Asia and Pacific,2018,93.14519
Region,East Asia and Pacific,2019,136.97334
Region,East Asia and Pacific,2020,169.79125
Region,North America (excluding Mexico),2013,34.34577
Region,North America (excluding Mexico),2014,40.04956
Region,North America (excluding Mexico),2015,45.33065
Region,North America (excluding Mexico),2016,49.52440
Region,North America (excluding Mexico),2017,56.50376
Region,North America (excluding Mexico),2018,73.07515
Region,North America (excluding Mexico),2019,68.05113
Region,North America (excluding Mexico),2020,53.23984
Region,Europe,2013,49.42654
Region,Europe,2014,58.27907
Region,Europe,2015,72.81869
Region,Europe,2016,52.38272
Region,Europe,2017,48.00732
Region,Europe,2018,66.07415
Region,Europe,2019,53.66556
Region,Europe,2020,67.36201
Region,Eurasia,2013,3.61904
Region,Eurasia,2014,3.23227
Region,Eurasia,2015,5.38073
Region,Eurasia,2016,4.77419
Region,Eurasia,2017,5.76905
Region,Eurasia,2018,4.63345
Region,Eurasia,2019,5.17496
Region,Eurasia,2020,6.16742
Region,Latin America and Caribbean,2013,19.07084
Region,Latin America and Caribbean,2014,18.78909
Region,Latin America and Caribbean,2015,26.05030
Region,Latin America and Caribbean,2016,12.28815
Region,Latin America and Caribbean,2017,21.88626
Region,Latin America and Caribbean,2018,20.31532
Region,Latin America and Caribbean,2019,20.69500
Region,Latin America and Caribbean,2020,17.58603
Region,South Asia,2013,6.18207
Region,South Asia,2014,9.13372
Region,South Asia,2015,13.31728
Region,South Asia,2016,15.49067
Region,South Asia,2017,17.66579
Region,South Asia,2018,14.78977
Region,South Asia,2019,14.93095
Region,South Asia,2020,15.00803
Region,Sub-Saharan Africa,2013,5.62102
Region,Sub-Saharan Africa,2014,4.29590
Region,Sub-Saharan Africa,2015,5.40864
Region,Sub-Saharan Africa,2016,3.89885
Region,Sub-Saharan Africa,2017,4.05254
Region,Sub-Saharan Africa,2018,9.60978
Region,Sub-Saharan Africa,2019,5.28752
Region,Sub-Saharan Africa,2020,3.77410
Region,Others,2013,23.99310
Region,Others,2014,30.55491
Region,Others,2015,16.50411
Region,Others,2016,17.42686
Region,Others,2017,53.33967
Region,Others,2018,40.40359
Region,Others,2019,24.53650
Region,Others,2020,14.82770
Financial Instrument,Balance Sheet Financing (Debt Portion),2013,0.00000
Financial Instrument,Balance Sheet Financing (Debt Portion),2014,0.00000
Financial Instrument,Balance Sheet Financing (Debt Portion),2015,90.14538
Financial Instrument,Balance Sheet Financing (Debt Portion),2016,63.81975
